text,author
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein
“Any fool can know. The point is to understand.”,Albert Einstein
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein
