reviewer_name,review_date,review_content
Companion54966611147,5-Mar,"Honest, Mohamed Kamal is the hotel's best staff, quick and welcoming Value Rooms Location Cleanliness Service Sleep Quality"
Wael A,4-Mar,Good treatment from brother Samar from laundry
Dorsaf A,4-Mar,Very good Service Mohammed Kamel was very helpful
????? ?,2-Mar,"A special thanks to Mr. Anouar from the laundry department, a decent man who worked hard and was treated sweet and sweet by the Lord"
Jrid M,1-Mar,"Unfortunately the dining experience is very poor in terms of choice and especially quality, sometimes nothing to eat. Nice experience for laundry with Marwan the laundry boy who is very kind and cooperative, a big thank you for him Value Rooms Location Cleanliness Service Sleep Quality"
Meera A,26-Feb,The service is top-notch and the staff of Mohamed Khamal is top-notch and professional
Khaled A,26-Feb,Mohammed Kamal from Laundary services is doing an outstanding job and support guests is exceeding expectation in line with Umrah requirements and stay smoothness.
Abu M,26-Feb,I enjoyed Mohamed Kamal service from laundry
Shazia L,26-Feb,"Excellent experience! Check in staff gave us a free room upgrade. I have celiac disease. Their on-site restaurant provided GF bread on request. In-room dining made me GF dishes on request. Room fantastic, beds very comfortable. Attached to a shopping center, which was extremely convenient, and included Bin Dawood. Located just a few buildings over from the Clock Tower, and a 3-5 minute walk to the Haram. Staff very helpful and accommodating, especially the room cleaning staff and restaurant staff! Highly recommend! Value Rooms Location Cleanliness Service Sleep Quality"
hamad a,26-Feb,"Mohammed kamal from room service was amazing, polite and responsive to our needs. Excellent service"
abu h,26-Feb,"The hotel was wonderful, its location was lovely, and special thanks to Mr. Shawkat Ali and the laundry staff member Younis Anwarallah. They were very kind, professional, and respectful, displaying the highest moral character. May God protect them. Value Rooms Location Cleanliness Service Sleep Quality"
???? ?,26-Feb,"Thank you for everything, especially the laundry store Mohamed Kamal Value Rooms Location Cleanliness Service Sleep Quality"
Nayef B,26-Feb,"Excellent service, put some snacks for the guests Value Rooms Location Cleanliness Service Sleep Quality"
Mohammed A,26-Feb,"Murray Anur laundry... a decent man fast on his job, top-notch in handling. Good luck honeyman"
Ahmed N,26-Feb,The service is good . . . . . . . . .
Abe A,26-Feb,Marwan Anwar did the laundry perfectly professionally very understanding kind man gave me a discount on my first laundry purchase. He was very kind and nice ??. May Allah bless you brother ameen.
Mohamad D,26-Feb,Youns Anwar Allah in room service was really excellent The hotel is in an excellent location near the entrance to the camp and the expansion entrance of the shelf very large fast breakfast customer service in Ramadan many configurations leave you openly refreshed Value Rooms Location Cleanliness Service Sleep Quality
Faisal A,26-Feb,Murray Annour Honest Staff Laundry Officer Quick Service
